Code Culture;Libellé Culture;Code Groupe Culture;Libellé Groupe Culture
GFP;Autre graminée fourragère pure de 5 ans ou moins;16;Fourrage
JO5;Jarosse implantée pour la récolte 2015;16;Fourrage
JO6;Jarosse implantée pour la récolte 2016;16;Fourrage
JO7;Jarosse implantée pour la récolte 2017;16;Fourrage
JOD;Jarosse déshydratée;16;Fourrage
JOS;Autre jarosse;16;Fourrage
LEF;Lentille fourragère;16;Fourrage
LFH;Autre lupin fourrager d'hiver;16;Fourrage
LFP;Autre lupin fourrager de printemps;16;Fourrage
LH5;Lupin fourrager d'hiver implanté pour la récolte 2015;16;Fourrage
LH6;Lupin fourrager d'hiver implanté pour la récolte 2016;16;Fourrage
LH7;Lupin fourrager d'hiver implanté pour larécolte 2017;16;Fourrage
LO7;Lotier implanté pour la récolte 2017;16;Fourrage
LOT;Lotier;16;Fourrage
LP5;Lupin fourrager de printemps implanté pour la récolte 2015;16;Fourrage
LP6;Lupin fourrager de printemps implanté pour la récolte 2016;16;Fourrage
LP7;Lupin fourrager de printemps implantépour la récolte 2017;16;Fourrage
LU5;Luzerne implantée pour la récolte 2015;16;Fourrage
LU6;Luzerne implantée pour la récolte 2016;16;Fourrage
LU7;Luzerne implantée pour la récolte 2017;16;Fourrage
LUD;Luzerne déshydratée;16;Fourrage
LUZ;Autre luzerne;16;Fourrage
MC5;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et de céréales;16;Fourrage
MC6;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et de céréales;16;Fourrage
MC7;Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2017 et de céréales;16;Fourrage
ME5;Mélilot implanté pour la récolte 2015;16;Fourrage
ME6;Mélilot implanté pour la récolte 2016;16;Fourrage
ME7;Mélilot implanté pour la récolte 2017;16;Fourrage
MED;Mélilot déshydraté;16;Fourrage
MEL;Autre mélilot;16;Fourrage
MH5;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2015 et d'herbacées ou de graminées fourragères;16;Fourrage
MH6;Mélange de légumineuses fourragères prépondérantes au semis implantées pour la récolte 2016 et d'herbacées ou de graminées fourragères;16;Fourrage
MH7;Mélange de légumineuses fourragères * prépondérantes au semis implantées pour la récolte 2017 et d'herbacées ou de graminées fourragères;16;Fourrage
MI7;Minette implanté pour la récolte 2017;16;Fourrage
MIN;Minette;16;Fourrage
ML5;Mélange de légumineuses fourragères implantées pour la récolte 2015 (entre elles);16;Fourrage
ML6;Mélange de légumineuses fourragères implantées pour la récolte 2016 (entre elles);16;Fourrage
ML7;Mélange de légumineuses fourragères * implantées pour la récolte 2017 (entre elles);16;Fourrage
MLD;Mélange de légumineuses déshydratées (entre elles);16;Fourrage
MLG;Mélange de légumineuses prépondérantes au semis et de graminées fourragères de 5 ans ou moins;16;Fourrage
MOH;Moha;16;Fourrage
NVF;Navet fourrager;16;Fourrage
PAT;Pâturin commun de 5 ans ou moins;16;Fourrage
PFH;Autre pois fourrager d'hiver;16;Fourrage
PFP;Autre pois fourrager de printemps;16;Fourrage
PH5;Pois fourrager d'hiver implanté pour la récolte 2015;16;Fourrage
PH6;Pois fourrager d'hiver implanté pour la récolte 2016;16;Fourrage
PH7;Pois fourrager d'hiver implanté pour la récolte 2017;16;Fourrage
PP5;Pois fourrager de printemps implanté pour la récolte 2015;16;Fourrage
PP6;Pois fourrager de printemps implanté pour la récolte 2016;16;Fourrage
PP7;Pois fourrager de printemps implanté pour la récolte 2017;16;Fourrage
RDF;Radis fourrager;16;Fourrage
SA5;Sainfoin implanté pour la récolte 2015;16;Fourrage
SA6;Sainfoin implanté pour la récolte 2016;16;Fourrage
SA7;Sainfoin implanté pour la récolte 2017;16;Fourrage
SAD;Sainfoin déshydraté;16;Fourrage
SAI;Autre sainfoin;16;Fourrage
SE5;Serradelle implantée pour la récolte 2015;16;Fourrage
SE6;Serradelle implantée pour la récolte 2016;16;Fourrage
SE7;Serradelle implantée pour la récolte 2017;16;Fourrage
SED;Serradelle déshydratée;16;Fourrage
SER;Autre serradelle;16;Fourrage
TR5;Trèfle implanté pour la récolte 2015;16;Fourrage
TR6;Trèfle implanté pour la récolte 2016;16;Fourrage
TR7;Trèfle implanté pour la récolte 2017;16;Fourrage
TRD;Trèfle déshydraté;16;Fourrage
TRE;Autre trèfle;16;Fourrage
VE5;Vesce implantée pour la récolte 2015;16;Fourrage
VE6;Vesce implantée pour la récolte 2016;16;Fourrage
VE7;Vesce implantée pour la récolte 2017;16;Fourrage
VED;Vesce déshydratée;16;Fourrage
VES;Autre vesce;16;Fourrage
XFE;X-Felium de 5 ans ou moins;16;Fourrage
BOP;Bois pâturé;17;Estives et landes
SPH;Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes;17;Estives et landes
SPL;Surface pastorale - ressources fourragères ligneuses prédominantes;17;Estives et landes
PPH;Prairie permanente - herbe prédominante (ressources fourragères ligneuses absentes ou peu présentes);18;Prairies permanentes
PRL;Prairie en rotation longue (6 ans ou plus);18;Prairies permanentes
PTR;Autre prairie temporaire de 5 ans ou moins;19;Prairies temporaires
RGA;Ray-grass de 5 ans ou moins;19;Prairies temporaires
AGR;Agrume;20;Vergers
ANA;Ananas;20;Vergers
AVO;Avocat;20;Vergers
BCA;Banane créole (fruit et légume) - autre;20;Vergers
BCF;Banane créole (fruit et légume) - fermage;20;Vergers
BCI;Banane créole (fruit et légume) - indivision;20;Vergers
BCP;Banane créole (fruit et légume) - propriété ou faire valoir direct;20;Vergers
BCR;Banane créole (fruit et légume) - réforme foncière;20;Vergers
BEA;Banane export - autre;20;Vergers
BEF;Banane export - fermage;20;Vergers
BEI;Banane export - indivision;20;Vergers
BEP;Banane export - propriété ou faire valoir direct;20;Vergers
BER;Banane export - réforme foncière;20;Vergers
CAC;Café / Cacao;20;Vergers
CBT;Cerise bigarreau pour transformation;20;Vergers
PFR;Petit fruit rouge;20;Vergers
PRU;Prune d'Ente pour transformation;20;Vergers
PVT;Pêche Pavie pour transformation;20;Vergers
PWT;Poire Williams pour transformation;20;Vergers
VGD;Verger (DOM);20;Vergers
VRG;Verger;20;Vergers
RVI;Restructuration du vignoble;21;Vignes
VRC;Vigne : raisins de cuve;21;Vignes
VRT;Vigne : raisins de table;21;Vignes
CAB;Caroube;22;Fruits à coque
CTG;Châtaigne;22;Fruits à coque
NOS;Noisette;22;Fruits à coque
NOX;Noix;22;Fruits à coque
PIS;Pistache ;22;Fruits à coque
OLI;Oliveraie ;23;Oliviers
ANE;Aneth;24;Autres cultures industrielles
ANG;Angélique;24;Autres cultures industrielles
ANI;Anis;24;Autres cultures industrielles
BAR;Bardane;24;Autres cultures industrielles
BAS;Basilic;24;Autres cultures industrielles
BRH;Bourrache de 5 ans ou moins;24;Autres cultures industrielles
BTN;Betterave non fourragère / Bette;24;Autres cultures industrielles
CAV;Carvi;24;Autres cultures industrielles
CHR;Chardon Marie;24;Autres cultures industrielles
CIB;Ciboulette;24;Autres cultures industrielles
CML;Cameline;24;Autres cultures industrielles
CMM;Camomille;24;Autres cultures industrielles
CRD;Coriandre;24;Autres cultures industrielles
CRF;Cerfeuil;24;Autres cultures industrielles
CUM;Cumin;24;Autres cultures industrielles
CUR;Curcuma;24;Autres cultures industrielles
EST;Estragon;24;Autres cultures industrielles
FNO;Fenouil;24;Autres cultures industrielles
FNU;Fenugrec;24;Autres cultures industrielles
HBL;Houblon;24;Autres cultures industrielles
LAV;Lavande / Lavandin;24;Autres cultures industrielles
MAV;Mauve;24;Autres cultures industrielles
MLI;Mélisse;24;Autres cultures industrielles
MLP;Millepertuis;24;Autres cultures industrielles
MOT;Moutarde;24;Autres cultures industrielles
MRJ;Marjolaine / Origan;24;Autres cultures industrielles
MTH;Menthe;24;Autres cultures industrielles
ORT;Ortie;24;Autres cultures industrielles
OSE;Oseille;24;Autres cultures industrielles
PAR;Plante aromatique (autre que vanille);24;Autres cultures industrielles
PMD;Plante médicinale;24;Autres cultures industrielles
PPA;Autre plante à parfum, aromatique et médicinale annuelle;24;Autres cultures industrielles
PPF;Plante à parfum (autre que géranium et vétiver);24;Autres cultures industrielles
PPP;Autre plante à parfum, aromatique et médicinale pérenne;24;Autres cultures industrielles
PSL;Persil;24;Autres cultures industrielles
PSN;Psyllium noir de Provence;24;Autres cultures industrielles
PSY;Plantain psyllium;24;Autres cultures industrielles
ROM;Romarin;24;Autres cultures industrielles
SGE;Sauge;24;Autres cultures industrielles
SRI;Sarriette;24;Autres cultures industrielles
TAB;Tabac;24;Autres cultures industrielles
THY;Thym;24;Autres cultures industrielles
TOT;Tomate pour transformation;24;Autres cultures industrielles
VAL;Valériane;24;Autres cultures industrielles
VNB;Vanille sous bois;24;Autres cultures industrielles
VNL;Vanille;24;Autres cultures industrielles
VNV;Vanille verte;24;Autres cultures industrielles
YLA;Ylang-ylang;24;Autres cultures industrielles
AIL;Aïl;25;Légumes ou fleurs
ART;Artichaut ;25;Légumes ou fleurs
AUB;Aubergine;25;Légumes ou fleurs
BLT;Bleuet;25;Légumes ou fleurs
BUR;Bugle rampante;25;Légumes ou fleurs
CAR;Carotte;25;Légumes ou fleurs
CCN;Concombre / Cornichon;25;Légumes ou fleurs
CCT;Courgette / Citrouille;25;Légumes ou fleurs
CEL;Céleri;25;Légumes ou fleurs
CES;Chicorée / Endive / Scarole;25;Légumes ou fleurs
CHU;Chou;25;Légumes ou fleurs
CMB;Courge musquée / Butternut;25;Légumes ou fleurs
CRA;Cresson alénois de 5 ans ou moins;25;Légumes ou fleurs
CRN;Cornille;25;Légumes ou fleurs
CRS;Cresson;25;Légumes ou fleurs
CSS;Culture sous serre hors sol;25;Légumes ou fleurs
DOL;Dolique;25;Légumes ou fleurs
EPI;Épinard;25;Légumes ou fleurs
FLA;Autre légume ou fruit annuel;25;Légumes ou fleurs
FLP;Autre légume ou fruit pérenne;25;Légumes ou fleurs
FRA;Fraise;25;Légumes ou fleurs
GER;Géranium;25;Légumes ou fleurs
HAR;Haricot / Flageolet;25;Légumes ou fleurs
HPC;Horticulture ornementale de plein champ;25;Légumes ou fleurs
HSA;Horticulture ornementale sous abri;25;Légumes ou fleurs
LBF;Laitue / Batavia / Feuille de chêne;25;Légumes ou fleurs
LSA;Légume sous abri;25;Légumes ou fleurs
MAC;Mâche;25;Légumes ou fleurs
MLO;Melon;25;Légumes ou fleurs
MRG;Marguerite;25;Légumes ou fleurs
NVT;Navet;25;Légumes ou fleurs
OIG;Oignon / Échalote;25;Légumes ou fleurs
PAN;Panais;25;Légumes ou fleurs
PAQ;Pâquerette;25;Légumes ou fleurs
PAS;Pastèque;25;Légumes ou fleurs
PMV;Primevère;25;Légumes ou fleurs
POR;Poireau;25;Légumes ou fleurs
POT;Potiron / Potimarron;25;Légumes ou fleurs
PPO;Petits pois;25;Légumes ou fleurs
PSE;Pensée;25;Légumes ou fleurs
PTC;Pomme de terre de consommation;25;Légumes ou fleurs
PTF;Pomme de terre féculière;25;Légumes ou fleurs
PVP;Poivron / Piment;25;Légumes ou fleurs
RDI;Radis;25;Légumes ou fleurs
ROQ;Roquette;25;Légumes ou fleurs
RUT;Rutabaga;25;Légumes ou fleurs
SFI;Salsifis;25;Légumes ou fleurs
TOM;Tomate;25;Légumes ou fleurs
TOP;Topinambour;25;Légumes ou fleurs
VER;Véronique;25;Légumes ou fleurs
CSA;Canne à sucre - autre;26;Canne à sucre
CSF;Canne à sucre - fermage;26;Canne à sucre
CSI;Canne à sucre - indivision;26;Canne à sucre
CSP;Canne à sucre - propriété ou faire valoir direct;26;Canne à sucre
CSR;Canne à sucre - réforme foncière;26;Canne à sucre
ACA;Autre culture non précisée dans la liste (admissible);28;Divers
BFP;Bande admissible le long d'une forêt avec production;28;Divers
BFS;Bande admissible le long d'une forêt sans production;28;Divers
BOR;Bordure de champ;28;Divers
BRO;Brome de 5 ans ou moins;28;Divers
BTA;Bande tampon;28;Divers
CAE;Châtaigneraie entretenue par des porcins ou des petits ruminants;28;Divers
CEE;Chênaie entretenue par des porcins ou des petits ruminants;28;Divers
CID;Cultures conduites en interrangs : 2 cultures représentant chacune plus de 25%;28;Divers
CIT;Cultures conduites en interrangs : 3 cultures représentant chacune plus de 25%;28;Divers
CUA;Culture sous abattis;28;Divers
MCT;Miscanthus;28;Divers
MPA;Autre mélange de plantes fixant l'azote;28;Divers
MRS;Marais salant;28;Divers
NYG;Nyger;28;Divers
PCL;Phacélie de 5 ans ou moins;28;Divers
PEP;Pépinière;28;Divers
ROS;Roselière;28;Divers
SBO;Surface boisée sur une ancienne terre agricole;28;Divers
SNA;Surface non agricole non visible sur l'orthophotographie;28;Divers
SNE;Surface agricole temporairement non exploitée;28;Divers
TBT;Tubercule tropical;28;Divers
TCR;Taillis à courte rotation;28;Divers
TRU;Truffière (chênaie de plants mycorhizés);28;Divers
VET;Vétiver;28;Divers
ZZZ;Culture inconnue;28;Divers
